,campus_id,campus_name,dept,difficulty,name,quality,rating_count,retake,tag_accessibleoutsideclass,tag_amazinglectures,tag_bewareofpopquizzes,tag_caring,tag_cleargradingcriteria,tag_extracredit,tag_getreadytoread,tag_givesgoodfeedback,tag_gradedbyfewthings,tag_groupprojects,tag_hilarious,tag_inspirational,tag_lectureheavy,tag_lotsofhomework,tag_participationmatters,tag_respected,tag_skipclassyouwon'tpass,tag_somanypapers,tag_testheavy,tag_toughgrader
192,11,Alabama State University,Biology,2.8,Diann Jordan,3.7,22,80%,,,,2,1,7,5,2,,,1,1,6,,2,,1,,2,4
193,11,Alabama State University,Biology,3.7,Kartz Bibb,2.7,21,50%,,,,1,2,3,,4,,,,,3,3,1,3,2,,1,
194,11,Alabama State University,Psychology,4.5,Dee Lisa Cothran,3.3,17,N/A,,,,3,,,2,3,,,1,,,,1,1,,,,3
195,11,Alabama State University,Biology,2.1,Shreekumar Pillai,4.2,15,75%,,,1,,4,1,1,3,1,4,,,1,,1,6,1,,1,3
196,11,Alabama State University,Humanities,4.3,Derryn Moten,1.8,15,N/A,,,,,,,2,,,,,,,,,,,,,3
197,11,Alabama State University,Chemistry,3.1,Elijah Nyairo,4.5,15,N/A,1,2,,,,,,1,,,,,1,,2,3,1,,1,2
198,11,Alabama State University,English,1.6,Kavon Franklin,4.8,15,100%,2,5,,8,3,2,9,2,,,1,,,2,4,5,1,,,
199,11,Alabama State University,History,4.0,William Taylor,3.1,14,86%,1,,,,2,4,,2,,,,1,7,,4,,2,2,3,1
200,11,Alabama State University,History,4.4,Bertis English,3.5,14,N/A,,,,1,,,4,1,,,,,,,,1,3,,,2
201,11,Alabama State University,Communication,1.6,Carlos Morrison,4.8,13,100%,,2,,5,,,,4,,,3,4,,,1,4,1,,,
202,11,Alabama State University,Psychology,1.9,Earnest Blackshear,4.5,13,N/A,,1,,,,4,,1,,,4,1,,,3,1,,,,
203,11,Alabama State University,Biology,2.8,Komal Vig,3.8,13,N/A,1,1,,1,1,,,1,1,,,2,2,,,1,1,,,1
204,11,Alabama State University,Mathematics,2.8,Calvin Gatson,3.8,12,N/A,1,,,1,2,,,,,,,,2,1,,1,1,,,3
205,11,Alabama State University,Education,2.3,Melvin Robinson,4.8,12,N/A,,,,1,4,,3,,1,,,1,,1,2,,,,,
206,11,Alabama State University,Recreational Therapy,4.6,Kathy Neely,2.6,11,80%,,,,,1,,2,,1,2,,,,,1,,2,1,1,5
207,11,Alabama State University,Political Science,2.6,Byrdie Larkin,3.2,11,N/A,,,,1,,,,3,,,,,,1,3,,,,,
208,11,Alabama State University,Humanities,1.5,Robert White,4.4,11,N/A,1,2,,1,,1,1,1,,,1,4,1,,,3,1,,,
209,11,Alabama State University,Management,4.5,Kim Smith,3.5,11,50%,,1,,,,3,1,2,1,,,,,2,,2,3,,,8
210,12,Alaska Pacific University,Statistics,3.2,Leslie Cornick,2.6,15,N/A,,,,1,,,2,1,,2,,,2,3,,,1,1,,4
211,12,Alaska Pacific University,Counseling,1.6,Nora Tobin,3.5,12,N/A,,,,,,,,,,,,,,,,,,,,
212,12,Alaska Pacific University,Liberal Studies,3.5,Mark Faller,4.2,11,N/A,,1,,,,,3,1,,,,1,,,,2,,,,
213,12,Alaska Pacific University,Liberal Studies,3.1,Timothy Rawson,3.8,8,N/A,,,,,,,,1,,,,1,,1,,,,,,
214,12,Alaska Pacific University,Business Administration,3.6,Yaso Thiru,3.7,7,N/A,,1,,,1,,,2,,1,,1,,,,,1,,,2
215,12,Alaska Pacific University,Liberal Studies,2.7,Sharon Sibbald,3.9,7,N/A,,,,,,,,,,,,,,,,,,,,
216,12,Alaska Pacific University,Liberal Studies,3.1,Rosanne Pagano,4.3,7,N/A,,1,,2,,,,,,,,1,,,,1,,,,
217,12,Alaska Pacific University,Business,2.8,Kathleen Cronen,2.8,5,N/A,,,,,,,,,,,,,,,,,,,,
218,12,Alaska Pacific University,Business Administration,2.2,Scott Fredrickson,4.0,5,N/A,,,,,,,,,,,,,,,,,,,,
219,12,Alaska Pacific University,Environmental Science,4.0,David Scheel,2.9,4,N/A,,,,,,,,1,,,,1,,,,,,,,2
220,12,Alaska Pacific University,Liberal Studies,2.0,Mei Mei Evans,3.9,4,N/A,,,,,1,,,,,1,,,,,1,1,,1,,
221,12,Alaska Pacific University,Business Administration,4.0,Dale Lehman,4.9,4,N/A,,,,,,,1,,,,,1,,,1,,,,,
222,12,Alaska Pacific University,Environmental Science,4.0,Pamela Maslyk,5.0,4,N/A,,,,,,,,1,,,,,,,,,1,,1,
223,12,Alaska Pacific University,Liberal Studies,1.5,Esther Sullivan,5.0,4,N/A,,,,,,,,1,,,,,,,1,1,,,,
224,12,Alaska Pacific University,Psychology,4.0,Mala Chaudhery-Malgeri,4.0,4,N/A,,1,,2,2,1,2,1,,,,,,,,,,1,,
225,12,Alaska Pacific University,Mathematics,2.7,Roman Dial,5.0,3,N/A,,,,,,,,,,,,,,,,,,,,
226,12,Alaska Pacific University,Business Administration,3.0,Beverly Dennis,5.0,3,N/A,,,,,1,,,1,,,1,2,,,,,,,,
227,12,Alaska Pacific University,Liberal Studies,3.0,Gina Miller,4.0,3,N/A,1,,,,,,1,,,,1,,,,,,,,,1
228,12,Alaska Pacific University,Environmental Science,4.0,Stanley Tobin,3.0,3,N/A,,,,,,,,,,,,,,,,,,,,
229,12,Alaska Pacific University,Biology,3.0,Nathan Wolf,4.3,3,N/A,1,,,,,,,,,,2,,2,,1,1,,,1,
230,13,Albany College of Pharmacy and Health Sciences,English,2.8,Ray Chandrasekara,4.8,63,100%,2,2,,4,,,,1,,,3,5,,,1,4,,,,
231,13,Albany College of Pharmacy and Health Sciences,Chemistry,4.2,David Clarke,3.5,52,63%,1,,1,,1,,1,,4,,,,1,,,2,1,1,1,5
232,13,Albany College of Pharmacy and Health Sciences,Humanities,2.6,Danny D'Oney,3.5,50,N/A,,1,,,,,,,,,,,,,1,,,,,
233,13,Albany College of Pharmacy and Health Sciences,Economics,3.8,John Polimeni,4.7,44,N/A,,1,,,,,,,,,,1,,,,1,,,,
234,13,Albany College of Pharmacy and Health Sciences,Science,3.9,Mike Raley,3.5,39,N/A,,,,,,,,,,,,1,,,,,,,,1
235,13,Albany College of Pharmacy and Health Sciences,Biology,2.4,Dudley Moon,4.2,35,83%,1,1,,3,2,,2,,3,,4,,1,,,2,1,,,
236,13,Albany College of Pharmacy and Health Sciences,Biology,4.0,Meenakshi Malik,4.2,35,73%,1,5,,5,,,1,,,,,2,2,,3,9,2,,2,4
237,13,Albany College of Pharmacy and Health Sciences,Chemistry,4.1,Martha Hass,3.8,31,N/A,,,5,1,,,1,,,1,,1,1,,,2,1,,,5
238,13,Albany College of Pharmacy and Health Sciences,Chemistry,3.2,Jeff Voigt,3.6,29,N/A,,1,,,,1,,,,,,,,,1,,1,,,
239,13,Albany College of Pharmacy and Health Sciences,Humanities,2.6,Jim Anderson,3.4,28,N/A,,,,,,,,,,,,,,,,,,,,
240,13,Albany College of Pharmacy and Health Sciences,Physics,4.0,Yuri Kholodenko,2.1,26,N/A,1,1,2,2,,,1,,1,,1,2,,3,,1,1,,1,1
241,13,Albany College of Pharmacy and Health Sciences,Humanities,1.7,Fred Childs,2.8,25,N/A,,,,,,,,,,,,,,,,,,,,
242,13,Albany College of Pharmacy and Health Sciences,Humanities,3.0,Michael Pittman,3.6,23,N/A,,,,,,,,2,,,,1,,,1,1,,,,
243,13,Albany College of Pharmacy and Health Sciences,Biology,2.4,Ellen Kennett,4.8,21,N/A,,,,,,,,,,,,,,,,,,,,
244,13,Albany College of Pharmacy and Health Sciences,Medicine,3.4,Haian Zheng,2.2,20,N/A,,,1,,,1,,,,,,,,,,1,,,,
245,13,Albany College of Pharmacy and Health Sciences,Humanities,2.3,Margaret Carroll,4.8,15,N/A,1,,,2,,,,1,,,,,,,2,2,,,,1
246,13,Albany College of Pharmacy and Health Sciences,Social Work,3.5,Chris Aldi,2.4,15,N/A,,,,,,,,,,,,,,,,,,,,
247,13,Albany College of Pharmacy and Health Sciences,Biology,4.6,Adowa Nornoo,1.1,14,N/A,,,,,,,,,,,,,,,,,,,,
248,13,Albany College of Pharmacy and Health Sciences,Not Specified,2.6,Tom Lodise,4.3,13,N/A,,,,,,,,,,,,,,,,,,,,
249,13,Albany College of Pharmacy and Health Sciences,Humanities,2.5,Kenneth Blume,4.3,12,N/A,1,,,1,,,,,1,,2,,1,,2,1,,,,
250,14,Albany State University,Chemistry,3.1,Rajappa Manohar,4.4,27,N/A,,,,,,,,,,,,,,,,,,,,
251,14,Albany State University,Biology,4.0,Anta' Sha Jones,3.6,26,N/A,,1,3,,2,1,3,2,,1,,,1,,1,,6,,,4
252,14,Albany State University,Mathematics,3.3,Jerome Myricks,2.6,16,N/A,1,,,,,1,,,,,,,2,,1,,2,,2,3
253,14,Albany State University,English,1.7,Diann Courtoy,5.0,13,N/A,,,,,,,,,,,,,,,,,,,,
254,14,Albany State University,Political Science,1.6,Kwame Dankwa,4.5,13,N/A,1,,,,,1,,,2,,,,2,,2,1,1,,,
255,14,Albany State University,Music,1.3,Michael Decuir,4.8,12,N/A,,3,,1,,,,,,,3,2,,,,,,,,
256,14,Albany State University,Computer Science,3.5,Gwendolyn Campbell,4.0,12,N/A,,2,1,,,,,2,,,,,,,4,3,,,,2
257,14,Albany State University,Mathematics,2.6,Zephyrinus Okonkwo,3.8,11,N/A,1,,,1,,,,,,,,,,,,1,,,,
258,14,Albany State University,Biology,3.6,Edward Lyons,4.3,11,N/A,,,,,,,,,,,,,,,,,,,,
259,14,Albany State University,Business,4.1,Kathaleena Monds,2.8,11,N/A,,,,,,2,3,1,,,,,1,1,3,,3,,,5
260,14,Albany State University,History,1.4,Emmauel Konde,4.2,11,N/A,,,,,3,,,,1,1,,,1,,,1,,,,
261,14,Albany State University,Biology,2.5,Nathan Woods,3.1,11,N/A,,,,,,4,1,,,,3,1,,,1,,1,,,2
262,14,Albany State University,Mathematics,2.7,Anilkumar Devarapu,3.6,11,N/A,,,,,,,,,,,,,1,1,,,,,,1
263,14,Albany State University,English,4.7,Doris Davenport,2.0,10,N/A,,,,,,,,,,,1,1,,,,1,,,,
264,14,Albany State University,Physical Ed,2.9,Judd Biasiotto,3.6,9,N/A,,,,,,,,,,,,,,,,,,,,
265,14,Albany State University,Mathematics,2.4,Vijay Jung Kunwar,4.5,9,100%,1,6,,,1,3,,3,,,1,,,,5,4,,,,2
266,14,Albany State University,History,1.5,Willie Edwards,4.4,8,N/A,,,,,,,,,,,,,,,,,,,,
267,14,Albany State University,Biology,4.0,Olatunde Okediji,1.6,8,N/A,,,,,,,1,,,,,,1,,,1,2,,,2
268,14,Albany State University,Chemistry,3.5,Richard Mason,3.8,8,N/A,,,1,2,1,,1,,1,,,,,,1,,2,,1,1
269,14,Albany State University,Biology,4.7,Ravi Malik,1.5,7,N/A,,,,,,,,,,,,,,,,,,,,
270,15,College of Idaho,History,2.4,Howard Berger,4.0,32,N/A,,1,,,,,,,,,1,,,,,1,,,,
271,15,College of Idaho,Economics,4.1,Jim Angresano,3.5,17,N/A,,,,,,,,,,,,,,,,,,,,
272,15,College of Idaho,Psychology,2.3,John Thuerer,4.0,16,N/A,,,,,,,,,,,1,,,,,,,,,
273,15,College of Idaho,English,4.3,M. Islam,3.9,15,N/A,,,,,,,,1,,,,,,,1,,,,,1
274,15,College of Idaho,History,3.7,Steve Maughan,4.4,14,N/A,,1,,,,,,,1,,2,,2,,,,,,,
275,15,College of Idaho,History,3.9,Mee-Ae Kim,4.8,13,N/A,,,,,,,,,,,,,,1,,1,1,,,
276,15,College of Idaho,Political Science,3.7,Kerry Hunter,3.4,13,N/A,1,,,,,,,,,,1,1,,,,,,,,
277,15,College of Idaho,Mathematics,3.4,Robin Cruz,2.0,12,N/A,,,,,,,,,,,,,,,2,,,,,2
278,15,College of Idaho,Biology,4.4,Sara Heggland,3.9,12,N/A,1,,,,1,,1,,,,,1,,,,1,,,1,
279,15,College of Idaho,Philosophy,3.2,Elizabeth Wakeman,3.2,11,N/A,,,,,,,3,,,,,,,1,,,1,,,
280,15,College of Idaho,Journalism,2.4,Alan Minskoff,4.7,10,N/A,,,,,1,,1,1,,,1,,,,3,2,,,,
281,15,College of Idaho,Psychology,1.6,Jill Haunold,4.1,9,N/A,,,,,,,,1,,,1,1,,,1,,,,,
282,15,College of Idaho,Anthropology,3.6,Kathy Seibold,4.0,8,N/A,,,,,,,1,,,,,1,,,,1,,,,
283,15,College of Idaho,Physics,3.4,James Dull,4.7,8,N/A,,,,,,,,,,,,,,,,,,,,
284,15,College of Idaho,History,2.9,Mark Smith,3.9,7,N/A,,,,,,,,,,,1,1,,,,1,,,,
285,15,College of Idaho,English,2.9,Diane Raptosh,4.2,7,N/A,,,,,,,,,,,,,,,,,,,,
286,15,College of Idaho,Philosophy,3.6,Terry Mazurak,3.3,7,N/A,,,,1,,,,1,,,,,,,,1,,,,
287,15,College of Idaho,Political Science,2.7,Jasper Licalzi,4.7,7,N/A,,,,1,,,,,,,1,,,,,1,,,,
288,15,College of Idaho,Languages,3.4,Elizabeth Angresano,2.0,7,N/A,,,,,,,,,,,,,,,,,,,,
289,15,College of Idaho,Chemistry,4.4,Scott Truksa,3.7,7,N/A,,,,,,,,,,,,,,1,,1,1,,,2
290,16,Albertus Magnus College,Communication,2.4,Arthur Mollengarden,4.9,61,96%,4,5,,4,2,,3,16,,1,2,6,,10,17,12,,1,,2
291,16,Albertus Magnus College,History,1.2,Joe Avitable,4.7,51,67%,,3,,1,,,2,6,,,4,11,,1,4,10,,,,
292,16,Albertus Magnus College,English,3.0,Deborah Frattini,4.0,25,67%,,1,,1,,,4,1,1,1,1,1,2,4,,1,1,1,,
293,16,Albertus Magnus College,Sociology,2.9,Pat Yeaman,4.8,22,N/A,,2,,,,,,1,,,2,,,,,,,,,
294,16,Albertus Magnus College,Business,2.3,Clara Munson,3.8,21,N/A,,,,,,,,,,,,,1,,1,,,,,1
295,16,Albertus Magnus College,Mathematics,3.9,Christopher Anagnostakis,1.5,21,N/A,,,,,,,,,,,,,,,,,,,,
296,16,Albertus Magnus College,Psychology,3.7,Stephen Joy,3.3,21,N/A,,,,,,1,1,1,,,3,,4,,,1,1,1,,1
297,16,Albertus Magnus College,Communication,2.4,Ron Waite,3.6,20,N/A,1,1,,,,,,2,1,,,,,,1,1,,,,1
298,16,Albertus Magnus College,English,2.6,Donna Pallanti,4.0,20,100%,3,,,6,3,,,7,,,,,,,,7,,,,
299,16,Albertus Magnus College,Humanities,2.7,Peter Sinclair,4.7,18,N/A,,,,1,1,,,,,,,1,,1,,1,,,,
300,16,Albertus Magnus College,Philosophy,3.5,Matt Waggoner,3.3,18,N/A,,1,,,,,5,,1,,1,,1,2,,1,2,4,,4
301,16,Albertus Magnus College,Political Science,2.4,Bernie Fitzpatrick,5.0,16,N/A,,,,,,,,,,,,,,,,,,,,
302,16,Albertus Magnus College,Theology,3.4,Jeremiah Coffey,4.8,14,N/A,,1,,,,,,1,,,,1,,,,,,,,
303,16,Albertus Magnus College,English,2.0,Bill Earls,4.4,13,N/A,,,,,,,1,,,,,,,,,,1,,,
304,16,Albertus Magnus College,Philosophy,2.4,Paul Hodel,2.2,13,N/A,,,,,,,,1,,,,1,2,,1,,,1,,
305,16,Albertus Magnus College,Humanities,3.2,Mary Faith Dargan,3.8,12,N/A,,,,,,,,,,,,,,,,,,,,
306,16,Albertus Magnus College,English,3.2,Susan Cole,4.9,12,N/A,,,,,,,,,,,,,,,,,,,,
307,16,Albertus Magnus College,Biology,3.2,Mark Barreuther,4.5,12,60%,,,,1,1,,,1,,,,,1,1,1,2,1,,,
308,16,Albertus Magnus College,Chemistry,4.3,Isaac Hon,2.6,12,N/A,,,2,,,,1,,,,,,1,,,,1,,,3
309,16,Albertus Magnus College,Psychology,4.0,Hilda Speicher,3.3,12,N/A,1,,,,,,,,1,,,,1,2,,,1,,2,1
310,17,Albion College,Psychology,2.9,Jeff Wilson,4.2,79,N/A,,1,,1,,,,1,,,,1,,,,,2,,1,2
311,17,Albion College,English,4.6,Mary Collar,3.2,64,60%,,,,,,,1,4,,,,,,2,1,2,4,,,7
312,17,Albion College,Mathematics,1.9,Paul Anderson,4.5,51,N/A,,1,,2,1,1,,,,,5,,,,,3,,,2,
313,17,Albion College,History,4.2,Marcy Sacks,2.5,48,N/A,,,,,,,,,1,,,,1,,2,,1,,,3
314,17,Albion College,Philosophy,3.0,Ned Garvin,4.9,39,N/A,,,,,,,,,,,,,,,,,,,,
315,17,Albion College,Biology,2.3,Dan Skean,4.7,38,100%,3,2,,4,,3,,,,,6,,,1,,2,,,,
316,17,Albion College,Chemistry,3.7,Cliff Harris,3.5,37,N/A,,,,1,,,,1,,,3,,,,1,,1,,,1
317,17,Albion College,History,3.3,Deborah Kanter,2.9,33,N/A,,,,,1,,2,2,,,,,,1,2,,2,1,,1
318,17,Albion College,Mathematics,3.0,Mark Bollman,4.5,33,N/A,,,,,2,,1,,1,,,,,1,,1,,2,,1
319,17,Albion College,Music,2.8,James Ball,3.6,32,N/A,,,,,,,,1,,,1,,,,1,,,,,
320,17,Albion College,Psychology,2.7,Drew Christopher,4.8,31,N/A,1,2,,,1,,,2,,,3,,,,,,,,,
321,17,Albion College,English,3.6,Judy Lockyer,4.4,30,N/A,,,,,,,,2,,,,,,,2,,,,,2
322,17,Albion College,Chemistry,4.2,Andrew French,3.1,30,N/A,,,1,1,,,,,,,,,,,,,,,,
323,17,Albion College,Theology,3.1,Ronney Mourad,4.6,30,N/A,,,,,1,,1,2,,,,,,1,1,,,,,
324,17,Albion College,Psychology,2.5,Edward Bujdos,4.7,29,N/A,,,,,,,,,1,1,,,,,2,1,1,,,
325,17,Albion College,Political Science,3.1,Dyron Dabney,4.0,29,N/A,,,,,,,,,,,,,,,1,,1,,,
326,17,Albion College,Psychology,2.4,Tammy Jechura,4.4,29,N/A,,,,1,,,,1,,,,1,,,,3,1,,1,
327,17,Albion College,English,2.7,Andrew Bethune,4.3,28,N/A,,,,,,,,,,,,,,,,,,,,
328,17,Albion College,Political Science,3.2,William Rose,4.6,28,N/A,,,,,1,,1,1,,,,,,,1,2,,,,
329,17,Albion College,Mathematics,3.8,Darren Mason,3.9,28,N/A,1,,2,,,2,,1,,,,,1,3,1,2,1,,,4
330,18,Albright College,Art,3.9,Damayanthie Eluwawalage,3.9,54,80%,14,25,,22,8,,,22,2,,,7,12,,,16,,,1,3
331,18,Albright College,English,2.8,Jim Speese,3.9,49,N/A,,2,,,,,2,1,,,2,2,,,3,,,1,,2
332,18,Albright College,Criminal Justice,2.9,Carla Abodalo,4.2,39,N/A,,,,,,,1,,,,,,1,,,,,,,2
333,18,Albright College,Theology,3.3,William King,3.1,37,N/A,,,,,,,1,1,,,,,1,2,,,,,,
334,18,Albright College,Languages,3.8,John Incledon,2.0,37,20%,,,,,,,2,,,,,,1,2,5,,2,1,,3
335,18,Albright College,History,3.3,Guillame De Syon,4.6,37,N/A,,1,,2,1,,,3,,,,1,,,,1,,,,3
336,18,Albright College,Economics,4.0,Farhad Saboori,2.4,37,33%,2,,,2,1,,3,4,4,,,,4,3,,,3,1,,2
337,18,Albright College,Science,3.8,Karen Campbell,4.0,36,N/A,,1,,2,,,,3,,,,,,,,,,,,2
338,18,Albright College,History,2.0,John Pankratz,4.2,36,N/A,,,,,1,,1,1,,,,,,,,1,,,,
339,18,Albright College,Languages,3.7,Rona Haftel,3.0,34,N/A,,,1,,,,1,,,,,,,3,1,,4,,1,3
340,18,Albright College,Psychology,3.6,Patricia Snyder,4.0,33,N/A,,,,,,,,,,,,,,,,,,,,
341,18,Albright College,Psychology,3.6,Marsha Green,2.3,32,N/A,,,,,,,2,,1,,,,1,,,,,,2,2
342,18,Albright College,Computer Science,4.0,William Seaman,3.2,31,N/A,,,,,,,,,,,,,,,,,,,,
343,18,Albright College,Fine Arts,2.6,Gary Adelstein,3.4,31,N/A,,,,,,,,,1,,,,,,1,,,,1,
344,18,Albright College,Languages,2.6,Melissa Katz,4.7,31,N/A,1,1,,4,,,,1,,,,,,2,6,2,4,,,
345,18,Albright College,History,3.4,Gerald Ronning,4.3,31,N/A,,,,,,,1,2,,,,,,,,2,,,,3
346,18,Albright College,Languages,1.7,Archie Perrin,4.2,30,N/A,,,,,1,,,,,,1,,,,2,,,,,
347,18,Albright College,Psychology,2.6,Julia Heberle,3.9,29,N/A,,,,1,,1,1,1,,,,,,,,1,,,,1
348,18,Albright College,Social Science,3.1,Charlie Brown,4.6,28,N/A,1,,,1,,,,,,,,1,,,,,,,,
349,18,Albright College,English,2.1,Marian Wolbers,4.0,28,N/A,1,,,2,,1,,1,,2,,3,,,2,4,,,,
350,19,Alcorn State University,Communication,2.6,Larry Sanders,5.0,7,N/A,,,,,,,,,,,,,,,,,,,,
351,19,Alcorn State University,Journalism,2.2,Peter Malik,4.9,5,N/A,,,,1,1,,,2,,,,,,1,1,,,,,
352,19,Alcorn State University,English,3.4,J. Janice Coleman,4.8,5,N/A,1,,,,,,,1,,,,,,,1,,,,,
353,19,Alcorn State University,Psychology,4.0,Delarious Stewart,5.0,5,100%,1,1,,1,1,,1,4,,,1,1,,,1,2,,,,1
354,19,Alcorn State University,Agriculture,1.0,Wesley Whittaker,5.0,2,N/A,,,,,,,,,,,,,,,,,,,,
355,19,Alcorn State University,History,1.5,Buford Satcher,3.8,2,N/A,,,,,,,1,,,,,,,1,1,,,,,
356,19,Alcorn State University,Biology,3.5,Alex DW Acholonu,3.3,2,N/A,,,,1,,,,,,,,,,,,,,,,1
357,19,Alcorn State University,Sociology,1.5,Earnestine Lee,3.5,2,N/A,,,1,1,1,,,1,,,,,,,,,,2,,
358,19,Alcorn State University,English,3.0,Brian Kehler,3.0,2,N/A,,,,,1,,,1,,,,,,,1,,,1,,
359,19,Alcorn State University,Chemistry,2.0,Nnamdi Okoli,5.0,2,N/A,,,,1,2,,,,,,,,,,2,,,1,,
360,19,Alcorn State University,English,4.0,E. Henry Davis Ii,5.0,1,N/A,,,1,,1,,,1,,,,,,,,,,,,
361,19,Alcorn State University,English,4.0,Murray Shugars,4.0,1,N/A,,,,,,,1,,,,,,,1,,,1,,,
362,19,Alcorn State University,Psychology,3.0,LaShawn Thompson,5.0,1,N/A,,,,,,,,,,1,,,,,1,,1,,,
363,19,Alcorn State University,Psychology,1.0,April Miley,4.0,1,N/A,1,,,,,,1,,1,,,,,,,,,,,
364,19,Alcorn State University,Psychology,4.0,Annie Kilcrease,4.0,1,N/A,,,,,,,,,,,,,1,1,,,,,1,
365,19,Alcorn State University,Sociology,2.0,Edward Brown,2.0,1,N/A,,,,,,,,,1,,1,,1,,,,,,,
366,19,Alcorn State University,Chemistry,4.0,Thomas Ondera,5.0,1,N/A,1,1,,,,1,,,,,,,,,,,,,,
367,19,Alcorn State University,Biology,4.0,Archie C Taylor,5.0,1,N/A,,1,,1,,,,,,,,1,,,,,,,,
368,19,Alcorn State University,Chemistry,3.0,Margo Montgomery,5.0,1,N/A,,,,,,,,1,,,,,1,1,,,,,,
369,19,Alcorn State University,Psychology,4.0,Tabitha Smith,1.0,1,N/A,,,,,,,1,,,,,,,,,,,1,1,
370,20,Alderson Broaddus University,History,2.9,Kenneth Yount,4.7,20,N/A,,,,,,,,,,,,,,,,,,,,
371,20,Alderson Broaddus University,Biology,4.2,John Enz,4.5,12,N/A,,,,,,,,,,,,,1,,,,,,1,1
372,20,Alderson Broaddus University,Music,3.8,Judson Bracey,4.2,11,N/A,,,,,,,,,,,,,,,,,,,,
373,20,Alderson Broaddus University,History,3.2,John Hicks,4.4,11,N/A,,,,,,,,,,,,,,,,,,,,
374,20,Alderson Broaddus University,Political Science,3.8,Dee Beutel,4.5,11,N/A,,,,2,,,,,,,1,1,,,,,,,,1
375,20,Alderson Broaddus University,Theology,2.6,Danny Franke,3.0,9,N/A,,,,,,,1,,,,,,,,,,,,,1
376,20,Alderson Broaddus University,Communication,3.1,Barbara Sims,4.3,9,N/A,,,,,,,,,,,,,,,,,,,,
377,20,Alderson Broaddus University,English,3.2,Jeffrey Del Col,3.1,9,N/A,,,,,,,,,,,,,,,,,,,,
378,20,Alderson Broaddus University,Education,2.0,Margie Gault,2.7,7,N/A,,,,,,,,,,,,,,,,,,,,
379,20,Alderson Broaddus University,Music,3.3,Marija Sommer,2.8,6,N/A,,,,,,,,,,,,,,,,,,,,
380,20,Alderson Broaddus University,Music,3.8,Lillian Long,3.3,6,N/A,,,,,,,,,,,,,,,,,,,,
381,20,Alderson Broaddus University,Biology,4.0,Dave Unger,4.0,6,N/A,,,,,,,,,,,,,,,,,,,,
382,20,Alderson Broaddus University,Chemistry,2.7,Mrs. Ahmed,3.0,6,N/A,,,,,1,,,1,,,,,1,,,,2,,,
383,20,Alderson Broaddus University,Chemistry,2.6,Robert Digman,2.8,5,N/A,,,,,,,,,,,,,,,,,,,,
384,20,Alderson Broaddus University,Chemistry,3.3,Alymer David,2.8,4,N/A,,,,,,,,,,,,,,,,,,,,
385,20,Alderson Broaddus University,Health Science,3.0,Eric Shor,4.0,4,N/A,,,,,,,,,,,,,,,,,,,,
386,20,Alderson Broaddus University,Education,1.5,Thomas Ditty,1.9,4,N/A,,,,,,,,,,,,,,,,,,,,
387,20,Alderson Broaddus University,Psychology,4.7,Valerie Nussear,3.0,3,N/A,,,,,,,,,,,,,,,,,,,,
388,20,Alderson Broaddus University,Biology,3.0,Charlie Chen,4.3,3,N/A,,,,,,,,1,,,,1,,,,1,,,,
389,20,Alderson Broaddus University,Business,2.3,Kelli Andrew,4.5,3,N/A,,,,,,,,,,,,,,,,,,,,
390,21,Alfred University,Chemistry,2.1,Andrew Eklund,4.6,35,N/A,3,,,4,1,1,,2,,,1,,,1,,3,,,,1
391,21,Alfred University,Political Science,3.7,Robert Heineman,4.1,34,N/A,,,,,,,,,,,,,,,,,,,,
392,21,Alfred University,History,4.1,Gary Ostrower,4.0,34,N/A,,1,,,,,6,3,2,,1,,6,,,1,3,,,5
393,21,Alfred University,English,4.0,Susan Mayberry,4.0,33,78%,,,,,,,5,1,,,2,1,,,2,3,3,,1,4
394,21,Alfred University,Science,2.5,David Degraff,3.2,32,N/A,1,,,1,,,,1,,,,,,1,,,,,1,1
395,21,Alfred University,Psychology,3.0,Nancy Furlong,4.2,32,N/A,,,,1,2,,,1,,1,,,,,,2,2,,,
396,21,Alfred University,Chemistry,1.9,Garrett McGowan,4.6,30,N/A,,1,,,,,,1,,1,5,,,,,3,1,,,
397,21,Alfred University,English,3.8,Heather Yanda,2.8,29,N/A,,,,2,,,,1,,,,,,,1,,,1,,3
398,21,Alfred University,English,3.1,Allen Grove,4.7,26,N/A,,,,,,,1,,,,,,,1,2,,1,,,
399,21,Alfred University,English,3.5,Susan Morehouse,3.7,26,N/A,,,,,,,3,2,,,,,,,1,,3,,,3
400,21,Alfred University,Anthropology,2.6,Robert Myers,3.9,26,N/A,,,,,1,,2,1,,,,,1,,,,,,1,1
401,21,Alfred University,Physics,3.2,Roger Loucks,4.5,25,100%,5,2,1,2,,,,2,,,5,1,1,2,,4,4,,,2
402,21,Alfred University,English,4.0,D Martelle,1.5,24,N/A,,,,,,,,,,,,,,,,,,,,
403,21,Alfred University,Fine Arts,3.8,Ted Morgan,2.7,24,N/A,,,,,,,,,,,,,,,,,,,,
404,21,Alfred University,Mathematics,2.6,Darwyn Cook,4.1,24,N/A,1,,,,1,,,,,,1,,,2,,,1,,,
405,21,Alfred University,Philosophy,3.0,Emrys Westacott,4.3,23,N/A,,,1,4,,,1,,,,2,,,,4,,1,,,2
406,21,Alfred University,Accounting,4.1,Sharon Davidson,3.7,23,N/A,,1,,,,,,,,,,,,2,,,4,,,3
