,campus_id,campus_name,dept,difficulty,name,quality,rating_count,retake,tag_amazinglectures,tag_givesgoodfeedback,tag_inspirational,tag_lectureheavy,tag_skipclassyouwon'tpass,tid
0,7532,Interior Designers Institute,Interior Design,3.0,Judy Deaton,4.0,9,N/A,1,1,1,,,797964
1,7532,Interior Designers Institute,Interior Design,4.4,Donald Gardner,3.9,9,N/A,,1,,1,1,892712
2,7532,Interior Designers Institute,Interior Design,2.9,Carol Tink,4.9,8,N/A,,,,,,797958
3,7532,Interior Designers Institute,Textiles & Clothing,3.5,Kay Delaney,3.9,4,N/A,,,,,,797911
4,7532,Interior Designers Institute,Interior Design,3.7,Sandra Paul,4.5,3,N/A,,,,,,797960
5,7532,Interior Designers Institute,Not Specified,3.7,Pat Clayton,4.7,3,N/A,,,,,,892905
6,7532,Interior Designers Institute,Interior Design,3.7,Mark Teale,5.0,3,N/A,,,,,,1699663
7,7532,Interior Designers Institute,Not Specified,1.5,Mat Robins,2.3,2,N/A,,,,,,1689454
